NAME,TICKER,COUNTRY,ICB,INDUS,SUP SEC,SEC,SUB SEC
Exxon Mobil Corp.,XOM,United States,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
International Business Machines Corp.,IBM,United States,9533,Technology,Technology,Software & Computer Services,Computer Services
Chevron Corp.,CVX,United States,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
General Electric Co.,GE,United States,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
Procter & Gamble Co.,PG,United States,3724,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Nondurable Household Products
AT&T Inc.,T,United States,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Johnson & Johnson,JNJ,United States,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
Pfizer Inc.,PFE,United States,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
HSBC Holdings PLC,HBC,United Kingdom,8355,Financials,Banks,Banks,Banks
Wells Fargo & Co.,WFC,United States,8355,Financials,Banks,Banks,Banks
Novartis AG,NVS,Switzerland,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
BP PLC,BP,United Kingdom,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
Philip Morris International Inc.,PM,United States,3785,Consumer Goods,Personal & Household Goods,Tobacco,Tobacco
JPMorgan Chase & Co.,JPM,United States,8355,Financials,Banks,Banks,Banks
Coca-Cola Co.,KO,United States,3537,Consumer Goods,Food & Beverage,Beverages,Soft Drinks
Royal Dutch Shell PLC Cl A,RDS/A,United Kingdom,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
Toyota Motor Corp.,TM,Japan,3353,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Automobiles
Total S.A.,TOT,France,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
BHP Billiton Ltd.,BHP,Australia,1775,Basic Materials,Basic Resources,Mining,General Mining
Merck & Co. Inc.,MRK,United States,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
GlaxoSmithKline PLC,GSK,United Kingdom,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
Verizon Communications Inc.,VZ,United States,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Schlumberger Ltd.,SLB,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Wal-Mart Stores Inc.,WMT,United States,5373,Consumer Services,Retail,General Retailers,Broadline Retailers
McDonald's Corp.,MCD,United States,5757,Consumer Services,Travel & Leisure,Travel & Leisure,Restaurants & Bars
Royal Dutch Shell PLC B,RDS/B,United Kingdom,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
PepsiCo Inc.,PEP,United States,3537,Consumer Goods,Food & Beverage,Beverages,Soft Drinks
ConocoPhillips,COP,United States,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
Citigroup Inc.,C,United States,8355,Financials,Banks,Banks,Banks
Abbott Laboratories,ABT,United States,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
Siemens AG,SI,Germany,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
Sanofi,SNY,France,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
Occidental Petroleum Corp.,OXY,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Rio Tinto PLC,RIO,United Kingdom,1775,Basic Materials,Basic Resources,Mining,General Mining
Bank of America Corp.,BAC,United States,8355,Financials,Banks,Banks,Banks
Royal Bank of Canada,RY,Canada,8355,Financials,Banks,Banks,Banks
Berkshire Hathaway Inc. Cl B,BRK/B,United States,8538,Financials,Insurance,Nonlife Insurance,Reinsurance
Mitsubishi UFJ Financial Group Inc.,MTU,Japan,8355,Financials,Banks,Banks,Banks
Berkshire Hathaway Inc. Cl A,BRK/A,United States,8538,Financials,Insurance,Nonlife Insurance,Reinsurance
Home Depot Inc.,HD,United States,5375,Consumer Services,Retail,General Retailers,Home Improvement Retailers
Toronto-Dominion Bank,TD,Canada,8355,Financials,Banks,Banks,Banks
Walt Disney Co.,DIS,United States,5553,Consumer Services,Media,Media,Broadcasting & Entertainment
Banco Santander S.A.,STD,Spain,8355,Financials,Banks,Banks,Banks
BHP Billiton PLC,BBL,United Kingdom,1775,Basic Materials,Basic Resources,Mining,General Mining
Taiwan Semiconductor Manufacturing Co.,TSM,Taiwan,9576,Technology,Technology,Technology Hardware & Equipment,Semiconductors
Honda Motor Co. Ltd.,HMC,Japan,3353,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Automobiles
Telefonica S.A.,TEF,Spain,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Caterpillar Inc.,CAT,United States,2753,Industrials,Industrial Goods & Services,Industrial Engineering,Commerical Vehicles & Trucks
Westpac Banking Corp.,WBK,Australia,8355,Financials,Banks,Banks,Banks
United Technologies Corp.,UTX,United States,2713,Industrials,Industrial Goods & Services,Aerospace & Defense,Aerospace
SAP AG,SAP,Germany,9537,Technology,Technology,Software & Computer Services,Software
Altria Group Inc.,MO,United States,3785,Consumer Goods,Personal & Household Goods,Tobacco,Tobacco
ENI S.p.A.,E,Italy,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
Kraft Foods Inc. Cl A,KFT,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
VISA Inc. Cl A,V,United States,8773,Financials,Financial Services,Financial Services,Consumer Finance
AstraZeneca PLC,AZN,United Kingdom,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
UnitedHealth Group Inc.,UNH,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
CVS Caremark Corp.,CVS,United States,5333,Consumer Services,Retail,Food & Drug Retailers,Drug Retailers
Diageo PLC,DEO,United Kingdom,3535,Consumer Goods,Food & Beverage,Beverages,Distillers & Vintners
Suncor Energy Inc.,SU,Canada,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
Bank of Nova Scotia,BNS,Canada,8355,Financials,Banks,Banks,Banks
Novo Nordisk A/S,NVO,Denmark,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
3M Co.,MMM,United States,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
United Parcel Service Inc. Cl B,UPS,United States,2771,Industrials,Industrial Goods & Services,Industrial Transportation,Delivery Services
EMC Corp.,EMC,United States,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
Bristol-Myers Squibb Co.,BMY,United States,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
U.S. Bancorp,USB,United States,8355,Financials,Banks,Banks,Banks
American Express Co.,AXP,United States,8773,Financials,Financial Services,Financial Services,Consumer Finance
China Mobile Ltd.,CHL,China,6575,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications
Union Pacific Corp.,UNP,United States,2775,Industrials,Industrial Goods & Services,Industrial Transportation,Railroads
Hewlett-Packard Co.,HPQ,United States,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
Unilever N.V.,UN,Netherlands,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
UBS AG,UBS,Switzerland,8355,Financials,Banks,Banks,Banks
Canon Inc.,CAJ,Japan,9574,Technology,Technology,Technology Hardware & Equipment,Electronic Office Equipment
Boeing Co.,BA,United States,2713,Industrials,Industrial Goods & Services,Aerospace & Defense,Aerospace
Petroleo Brasileiro S/A,PBR,Brazil,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
Goldman Sachs Group Inc.,GS,United States,8777,Financials,Financial Services,Financial Services,Investment Services
Anheuser-Busch InBev N.V.,BUD,Belgium,,,,,,,,
Barrick Gold Corp.,ABX,Canada,1777,Basic Materials,Basic Resources,Mining,Gold Mining
ABB Ltd.,ABB,Switzerland,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Sumitomo Mitsui Financial Group Inc.,SMFG,Japan,8355,Financials,Banks,Banks,Banks
Barclays PLC,BCS,United Kingdom,8355,Financials,Banks,Banks,Banks
E.I. DuPont de Nemours & Co.,DD,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
America Movil S.A.B. de C.V.,AMX,Mexico,6575,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications
Ford Motor Co.,F,United States,3353,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Automobiles
MasterCard Inc. Cl A,MA,United States,8773,Financials,Financial Services,Financial Services,Consumer Finance
Deutsche Bank AG,DB,Germany,8355,Financials,Banks,Banks,Banks
Anadarko Petroleum Corp.,APC,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Unilever PLC,UL,United Kingdom,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
Apache Corp.,APA,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Monsanto Co.,MON,United States,3573,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing
Banco Bilbao Vizcaya Argentaria S.A.,BBVA,Spain,8355,Financials,Banks,Banks,Banks
Honeywell International Inc.,HON,United States,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
Colgate-Palmolive Co.,CL,United States,3767,Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products
Freeport-McMoRan Copper & Gold Inc.,FCX,United States,1755,Basic Materials,Basic Resources,Industrial Metals & Mining,Nonferrous Metals
Canadian Natural Resources Ltd.,CNQ,Canada,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Medtronic Inc.,MDT,United States,4535,Health Care,Health Care,Health Care Equipment & Services,Medical Equipment
